,GTFS Stop ID,Complex ID,Stop Name,lines
235,235,617,Atlantic Av-Barclays Ctr,"['3', '4', '2', '5']"
247,247,359,Flatbush Av-Brooklyn College,"['2', '5']"
401,401,378,Woodlawn,['4']
D17,D17,607,34 St-Herald Sq,"['D', 'F', 'M', 'B']"
505,505,446,Morris Park,['5']
L01,L01,618,8 Av,['L']
718,718,461,Queensboro Plaza,"['7X', '7']"
612,612,370,Whitlock Av,['6']
M12,M12,98,Flushing Av,"['J', 'M']"
228,228,624,Park Place,"['3', '2']"
220,220,433,Jackson Av,"['2', '5']"
D07,D07,215,Tremont Av,"['D', 'B']"
L08,L08,120,Bedford Av,['L']
B06,B06,222,Roosevelt Island,['F']
J15,J15,83,Woodhaven Blvd,['J']
F14,F14,232,2 Av,['F']
253,253,348,Rockaway Av,['3']
