index,lines,time,stop1,stop2,stop 1 count,stop 2 count
"('707', '708')",7x,73.6842105263158,Junction Blvd,90 St-Elmhurst Av,1,1
"('708', '709')",7,90.0,90 St-Elmhurst Av,82 St-Jackson Hts,1,1
"('708', '709')",7x,90.0,90 St-Elmhurst Av,82 St-Jackson Hts,1,1
"('709', '710')",7,85.78947368421052,82 St-Jackson Hts,74 St-Broadway,1,1
"('709', '710')",7x,85.78947368421052,82 St-Jackson Hts,74 St-Broadway,1,1
"('710', '711')",7,78.84955752212389,74 St-Broadway,69 St,2,1
"('710', '711')",7x,78.84955752212389,74 St-Broadway,69 St,2,1
"('710', '712')",7,150.0,74 St-Broadway,61 St-Woodside,2,2
"('710', '712')",7x,150.0,74 St-Broadway,61 St-Woodside,2,2
"('711', '712')",7,90.0,69 St,61 St-Woodside,1,2
"('711', '712')",7x,90.0,69 St,61 St-Woodside,1,2
"('712', '713')",7,120.0,61 St-Woodside,52 St,2,1
"('712', '713')",7x,120.0,61 St-Woodside,52 St,2,1
"('712', '714')",7,180.0,61 St-Woodside,46 St-Bliss St,2,2
"('712', '714')",7x,180.0,61 St-Woodside,46 St-Bliss St,2,2
"('713', '714')",7,60.0,52 St,46 St-Bliss St,1,2
"('713', '714')",7x,60.0,52 St,46 St-Bliss St,1,2
"('714', '715')",7,60.0,46 St-Bliss St,40 St-Lowery St,1,1
"('714', '715')",7x,60.0,46 St-Bliss St,40 St-Lowery St,1,1
"('715', '716')",7,90.0,40 St-Lowery St,33 St-Rawson St,1,1
"('715', '716')",7x,90.0,40 St-Lowery St,33 St-Rawson St,1,1
